"sid","sinstrument","ssymbol","sexpiry_dt","tdopen","tdhigh","tdlow","tdclose","tdtimestamp","twopen","twhigh","twlow","twclose","twtimestamp","tmopen","tmhigh","tmlow","tmclose","tmtimestamp","tyopen","tyhigh","tylow","tyclose","tytimestamp","dopen","dhigh","dlow","dclose","dtimestamp","wopen","whigh","wlow","wclose","wtimestamp","mopen","mhigh","mlow","mclose","mtimestamp","yopen","yhigh","ylow","yclose","ytimestamp","slastupdatedate"
588,"EQ","DHANBANK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12.00","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"12.00","12.05","11.85","11.90","14-OCT-2022","12.15","12.15","11.85","11.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
589,"EQ","DHANI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"47.20","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"44.80","45.95","43.90","44.05","14-OCT-2022","47.45","47.50","43.50","44.05","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
590,"EQ","DHANUKA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"637.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"688.00","691.55","672.05","673.90","14-OCT-2022","665.80","691.55","665.15","673.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
591,"EQ","DHARAMSI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"389.60","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"378.00","383.00","371.55","372.55","14-OCT-2022","387.70","390.05","366.05","372.55","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
592,"EQ","DHRUV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"56.65","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"64.45","66.00","61.00","61.60","14-OCT-2022","59.90","69.00","59.90","61.60","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
593,"EQ","DHUNINV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"641.40","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"649.85","651.20","636.10","642.35","14-OCT-2022","669.90","675.10","633.35","642.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
594,"EQ","DIAMONDYD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"876.95","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"903.00","918.00","881.30","895.40","14-OCT-2022","937.95","937.95","872.00","895.40","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
595,"EQ","DICIND",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"381.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"415.90","432.00","407.00","413.10","14-OCT-2022","420.00","443.00","401.00","413.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
596,"EQ","DIGISPICE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"27.15","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"26.50","27.35","25.80","25.90","14-OCT-2022","26.95","27.35","25.80","25.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
597,"EQ","DIL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"31.40","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"24.80","26.60","23.80","23.80","14-OCT-2022","27.50","29.30","23.80","23.80","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
598,"EQ","DISHTV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"18.00","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"16.85","17.60","16.70","16.85","14-OCT-2022","18.00","18.25","15.60","16.85","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
599,"EQ","DIVISLAB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3693.65","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3545.85","3587.45","3541.05","3572.80","14-OCT-2022","3682.80","3739.60","3472.00","3572.80","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
